,source_pid,des_pid,time,relationship,source,destination
1193,9304,9304,2023-09-27 01:43:11.381,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1194,9304,9304,2023-09-27 01:43:11.381,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1195,9304,9304,2023-09-27 01:43:11.381,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1196,9304,9304,2023-09-27 01:43:11.381,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1197,9304,9304,2023-09-27 01:43:11.382,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1198,9304,9304,2023-09-27 01:43:11.382,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1199,9304,9304,2023-09-27 01:43:11.382,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1200,9304,9304,2023-09-27 01:43:11.382,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1201,9304,9304,2023-09-27 01:43:11.383,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1202,9304,9304,2023-09-27 01:43:11.383,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1203,9304,9304,2023-09-27 01:43:11.384,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1204,9304,9304,2023-09-27 01:43:11.384,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1205,9304,9304,2023-09-27 01:43:11.384,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1206,9304,9304,2023-09-27 01:43:11.384,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1207,9304,9304,2023-09-27 01:43:11.385,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1208,9304,9304,2023-09-27 01:43:11.385,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
1209,3336,3336,2023-09-27 01:43:11.390,reg_create_del,C:\Windows\Explorer.EXE,HKU\S-1-5-21-2994737283-653069417-2221972583-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Security and Maintenance\Checks\{E8433B72-5842-4d43-8645-BC2C35960837}.check.102
1210,9304,9304,2023-09-27 01:43:11.390,reg_create_del,C:\Windows\System32\svchost.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
